kind,en,fr,ml,pa,hi,pt,es,it
city,Bilbao,,ബിൽബാവോ,ਬਿਲਬਾਓ,बिलबाओ,,,
city,Bologna,Bologne,ബൊലോഞ്ഞ,ਬੋਲੋਨਿਆ,बोलोन्या,,,
city,Bordeaux,,ബോർഡോ,ਬੋਰਡੋ,बोर्डो,,,
city,Braga,,ബ്രാഗ,ਬ੍ਰਾਗਾ,ब्रागा,,,
city,Bratislava,,ബ്രാറ്റിസ്ലാവ,ਬ੍ਰਾਤਿਸਲਾਵਾ,ब्रातिस्लावा,,,
city,Brno,,ബ്ര്നോ,ਬਰਨੋ,ब्रनो,,,
city,Bruges,,ബ്രൂജ്,ਬਰੂਜ,ब्रूज,,,
city,Brussels,,ബ്രസ്സൽസ്,ਬ੍ਰੱਸਲਜ਼,ब्रसेल्स,,,
city,Budapest,,ബുഡാപെസ്റ്റ്,ਬੁਡਾਪੇਸਟ,बुडापेस्ट,,,
city,Carcassonne,,കാർകസോൺ,ਕਾਰਕਾਸੋਨ,कारकासोन,,,
city,Clermont-Ferrand,,ക്ലെർമോൺ-ഫെറാൻ,ਕਲੇਰਮੋਂ-ਫੇਰਾਂ,क्लेरमों-फेरां,,,
city,Copenhagen,Copenhague,കോപ്പൻഹേഗൻ,ਕੋਪਨਹੇਗਨ,कोपेनहेगन,,,
city,Delft,,ഡെൽഫ്റ്റ്,ਡੈਲਫਟ,डेल्फ्ट,,,
city,Devín,,ദെവിൻ,ਦੇਵੀਨ,देवीन,,,
city,Florence,,ഫ്ലോറൻസ്,ਫਲੋਰੈਂਸ,फ्लोरेंस,,,
city,Gdansk,,ഗ്ദാൻസ്ക്,ਗਦਾਂਸਕ,ग्दांस्क,,,
city,Geneva,Genève,ജിനീവ,ਜਨੀਵਾ,जिनेवा,,,
city,Genoa,Gênes,ജെനോവ,ਜੇਨੋਆ,जेनोआ,,,
city,Ghent,Gand,ഘെന്റ്,ਗੈਂਟ,गेंट,,,
city,Granada,Grenade,ഗ്രനാഡ,ਗ੍ਰਾਨਾਦਾ,ग्रानादा,,,
city,Grenoble,,ഗ്രെനോബ്ല്,ਗ੍ਰੇਨੋਬਲ,ग्रेनोबल,,,
city,Guimarães,,ഗിമറൈൻസ്,ਗਿਮਾਰਾਇਸ਼,गिमाराइश,,,
city,Helsinki,,ഹെൽസിങ്കി,ਹੇਲਸਿੰਕੀ,हेलसिंकी,,,
city,Heraklion,Héraklion,ഹെറാക്ലിയോൺ,ਹੇਰਾਕਲਿਓਨ,हेराक्लिओन,,,
city,Hersonissos,Chersónissos,ഹെർസോണിസോസ്,ਹੇਰਸੋਨਿਸੋਸ,हेर्सोनिसोस,,,
city,Issoire,,ഇസ്വാർ,ਇਸਵਾਰ,इस्वार,,,
city,Katowice,,കാറ്റോവിസ്,ਕਾਤੋਵੀਤਸੇ,कातोवित्से,,,
city,Kinderdijk,,കിൻഡർഡൈക്,ਕਿੰਡਰਡਾਇਕ,किंडरडाइक,,,
city,Koper,,കോപ്പർ,ਕੋਪਰ,कोपर,,,
city,Lempdes,,ലെംപ്‌ദ്,ਲਾਂਪਦ,लांप्द,,,
city,Liège,,ലിയേജ്,ਲੀਏਜ,लीएज,,,
city,Ljubljana,,ല്യൂബ്ലിയാന,ਲਿਊਬਲਿਆਨਾ,ल्युब्लियाना,,,
city,Loupian,,ലൂപ്പിയാൻ,ਲੂਪਿਆਂ,लूपियां,,,
city,Lourdes,,ലൂർദ്,ਲੂਰਦ,लूर्द,,,
city,Lugano,,ലുഗാനോ,ਲੁਗਾਨੋ,लुगानो,,,
city,Luxembourg City,,ലക്സംബർഗ്-സിറ്റി,ਲਕਜ਼ਮਬਰਗ-ਸਿਟੀ,लक्ज़मबर्ग-सिटी,,,
city,Lyon,,ലിയോൺ,ਲਿਓਂ,ल्यों,,,
city,Lège-Cap-Ferret,,ലേജ്-കാപ്-ഫെറെ,ਲੇਜ-ਕਾਪ-ਫੇਰੇ,लेज-काप-फेरे,,,
city,Marseille,,മാർസെയ്,ਮਾਰਸੇ,मार्सेय,,,
city,Martigues,,മാർട്ടിഗ്,ਮਾਰਤੀਗ,मार्तिग,,,
city,Moissat,,മോയ്സ,ਮੋਇਸਾ,मोइस्सा,,,
city,Mons,,മോൺസ്,ਮੋਂਸ,मॉन्स,,,
city,Mont Saint-Michel,,മോൺ-സാൻ-മിഷേൽ,ਮੋਂ-ਸਾਂ-ਮੀਸ਼ੇਲ,मों-सां-मिशेल,,,
city,Montpellier,,മോംപെലിയേ,ਮੋਂਪੇਲੀਏ,मोंपेलिये,,,
city,Nantes,,നാന്ത്,ਨਾਂਤ,नांत,,,
city,Narbonne,,നാർബോൺ,ਨਾਰਬੋਨ,नारबोन,,,
city,Nowy Sącz,,നോവി-സോഞ്ച്,ਨੋਵੀ-ਸੋਂਚ,नोवी-सॉन्च,,,
city,Padua,Padoue,പാദുവ,ਪਾਦੂਆ,पादुआ,,,
city,Paris,,പാരിസ്,ਪੈਰਿਸ,पेरिस,,,
city,Pisa,Pise,പിസ,ਪੀਸਾ,पीसा,,,
city,Porto,,പോർട്ടോ,ਪੋਰਟੋ,पोर्तो,,,
city,Prague,,പ്രാഗ്,ਪ੍ਰਾਗ,प्राग,,,
city,Pérouges,,പേരൂജ്,ਪੇਰੂਜ,पेरूज,,,
city,Rennes,,റെന്ന,ਰੇਨ,रेन,,,
city,Riga,,റിഗ,ਰੀਗਾ,रीगा,,,
city,Rotterdam,,റോട്ടർഡാം,ਰਾਟਰਡੈਮ,रॉटरडैम,,,
city,Saint-Malo,,സാൻ-മാലോ,ਸੈਂ-ਮਾਲੋ,सैं-मालो,,,
city,Saint-Nazaire-en-Royans,,സാൻ-നസേർ-ആൻ-റോയാൻ,ਸੈਂ-ਨਜ਼ੇਰ-ਆਂ-ਰੋਯਾਂ,सैं-नजेर-आं-रॉयां,,,
city,Stary Sącz,,സ്റ്റാരി-സോഞ്ച്,ਸਟਾਰੀ-ਸੋਂਚ,स्तारी-सॉन्च,,,
city,Stockholm,,സ്റ്റോക്ക്ഹോം,ਸਟਾਕਹੋਮ,स्टॉकहोम,,,
city,Strasbourg,,സ്ട്രാസ്ബൂർഗ്,ਸਟ੍ਰਾਸਬੁਰਗ,स्ट्रासबुर्ग,,,
city,Tallinn,,ടാലിൻ,ਟਾਲਿਨ,ताल्लिन,,,
city,The Hague,,ഹേഗ്,ਹੇਗ,हेग,,,
city,Tibidabo,,തിബിദാബോ,ਤਿਬਿਦਾਬੋ,तिबिदाबो,,,
city,Toulouse,,തുലൂസ്,ਤੁਲੂਜ਼,तुलूज,,,
city,Turin,,ടൂറിൻ,ਟੂਰਿਨ,तूरिन,,,
city,Vaise,,വെയ്‌സ്,ਵੇਜ਼,वेज़,,,
city,Valflaunès,,വാൽഫ്ലോനസ്,ਵਾਲਫਲੋਨੇਸ,वाल्फ्लोनेस,,,
city,Vatican City,,വത്തിക്കാൻ-സിറ്റി,ਵੈਟੀਕਨ-ਸਿਟੀ,वेटिकन-सिटी,,,
city,Venice,Venise,വെനീസ്,ਵੇਨਿਸ,वेनिस,,,
city,Vianden,,വിയാൻഡൻ,ਵਿਆਂਡਨ,वियांडेन,,,
city,Vienna,Vienne,വിയന്ന,ਵੀਅਨਾ,वियना,,,
city,Vilnius,,വില്നിയസ്,ਵਿਲਨਿਯਸ,विल्नियस,,,
city,Volvic,,വോൾവിക്,ਵੋਲਵਿਕ,वोल्विक,,,
city,Wartburg,,വാർട്ട്‌ബർഗ്,ਵਾਰਟਬਰਗ,वार्टबुर्ग,,,
city,Wrocław,,വ്രോത്സ്വാവ്,ਵ੍ਰੋਤਸਵਾਫ,व्रॉत्सवाफ,,,
