year,paradigmLabel,count
2003,object-oriented programming,12
2003,procedural programming,11
2004,array programming,2
2004,copy and paste programming,2
2004,functional programming,10
2004,imperative programming,8
2004,multi-paradigm programming,10
2004,object-oriented analysis and design,2
2004,object-oriented programming,16
2004,procedural programming,5
2005,declarative programming,1
2005,functional programming,2
2005,imperative programming,1
2005,multi-paradigm programming,5
2005,object-oriented programming,8
2006,System programming language,5
2006,compiled language,5
2006,event-driven programming,1
2006,functional programming,3
2006,imperative programming,3
2006,multi-paradigm programming,3
2006,object-oriented programming,10
2006,procedural programming,3
2006,reflective programming,3
2007,dataflow programming,2
2007,esoteric programming,2
2007,esoteric programming language,2
2007,functional programming,5
2007,imperative programming,3
2007,multi-paradigm programming,3
2007,object-oriented programming,5
2007,procedural programming,3
2007,purely functional programming,3
2008,declarative programming,4
2008,functional programming,2
2008,imperative programming,3
2008,object-oriented programming,6
2008,procedural programming,3
2008,structured programming,1
2009,array programming,11
2009,compiled language,8
2009,concurrent computing,6
2009,declarative programming,3
2009,functional programming,10
2009,imperative programming,15
2009,multi-paradigm programming,13
2009,object-oriented programming,15
2009,parallel computing,4
2009,procedural programming,10
2009,purely functional programming,2
2009,reactive programming,3
2009,structured programming,6
2010,array programming,4
2010,object-oriented programming,4
2010,parallel computing,4
2011,declarative programming,2
2011,functional programming,29
2011,functional reactive programming,5
2011,imperative programming,22
2011,multi-paradigm programming,22
2011,object-oriented programming,26
2011,purely functional programming,5
2011,reactive programming,5
2011,reflective programming,14
2012,functional programming,5
2012,functional reactive programming,5
2012,object-oriented programming,2
2012,purely functional programming,5
2012,reactive programming,5
2013,array programming,8
2013,declarative programming,8
2013,functional programming,8
2013,imperative programming,8
2013,multi-paradigm programming,8
2013,object-oriented programming,8
2014,structured programming,2
2015,functional programming,1
